location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Kootenay Boundary,2017-12-07T23:22:17Z,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stick to shady terrain. Wet loose avalanches are most likely on sun-exposed slopes.</span></p>",The weather pattern is stable
South Rockies,2017-12-08T23:55:33+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_E6FD2046"">Weaknesses deep in the snowpack will heal much more slowly than wind slabs. Keep your guard up around big overhead terrain and in thin snowpack areas in the alpine.</span></p>",
Lizard Range and Flathead,2017-12-07T23:45:24+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Sunshine and warming are the critical factors for avalanche danger right now. Be aware of danger increasing in sync with solar radiation and temperature.</span></p>",
"Kananaskis Country, Alberta Parks",2017-12-08T23:00:00Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Cooler temperatures are incoming this weekend but check wx stations for a possible inversion in the morning.  Wind and warm temps have made good skiing challenging to find.  MK</span></p>",Freezing levels are uncertain on Saturday
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-09T00:04:27+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
Northwest Coastal,2017-12-09T23:39:20Z,considerable,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Forecast freezing levels and precipitation amounts are highly uncertain for Sunday. Pay close attention to how much rain or snow falls in your area and be prepared to back off to simple terrain.</span></p>","Timing, track, or intensity of incoming weather system is uncertain on Sunday"
Northwest Inland,2017-12-09T23:33:14+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">New snowfall amounts are uncertain for Sunday. Pay close attention to how much new snow falls in your area.</span></p>",Forecast snowfall amounts are uncertain on Sunday
Sea To Sky,2017-12-09T23:22:11+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Shady slopes offer the best snow, but watch out for new wind slabs that may have formed at higher elevations.</span></p>",The weather pattern is stable
South Coast Inland,2017-12-09T23:39:07+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Shady slopes offer the best snow, but watch out for new wind slabs that may have formed at higher elevations.</span><span class=""s_AA239A9B"" /></p>",The weather pattern is stable
South Coast,2017-12-09T23:00:00Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Warm air is the continuing trend. Seek shady slopes for the best snow.  Be cautious on steep slopes if the snow feels moist or wet.</span></p>",The weather pattern is stable
North Columbia,2017-12-08T23:52:01+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
South Columbia,2017-12-08T23:43:25+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
Purcells,2017-12-08T23:22:25+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Kootenay Boundary,2017-12-09T23:58:09+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Shady slopes offer the best snow. Isolated wind slabs may exist at high elevations.</span></p>",The weather pattern is stable
South Rockies,2017-12-09T23:25:00+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Weaknesses deep in the snowpack will heal much more slowly than wind slabs. As alpine temperatures rise, keep your guard up around big overhead terrain and in thin snowpack areas.</span></p>",Due to the number of field observations
Lizard Range and Flathead,2017-12-09T23:29:17+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Avalanche danger is tightly linked to solar exposure and warming. Look to shaded aspects to find the best snow and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
"Kananaskis Country, Alberta Parks",2017-12-09T23:00:00Z,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">This unique weather pattern hasn't had the negative impact that was originally expected. Lots of good skiing can still be had, especially on the shady aspects. Enjoy the skiing, but don't switch to auto pilot and turn the &quot;avalanche radar&quot; off. </span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-10T00:29:00+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Northwest Coastal,2017-12-10T23:56:27+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Forecast freezing levels are highly uncertain for Sunday night and Monday; however, warming is expected to drive the avalanche danger. Use extra caution on sun-exposed slopes and limit your exposure to large overhead terrain.</span></p>",Freezing levels are uncertain on Monday
Northwest Inland,2017-12-09T23:33:14+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">New snowfall amounts are uncertain for Sunday. Pay close attention to how much new snow falls in your area.</span></p>",Forecast snowfall amounts are uncertain on Sunday
Sea To Sky,2017-12-10T23:56:34+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Shady slopes offer the best snow, but watch out for wind slabs that may have formed at higher elevations.</span></p>",The weather pattern is stable
South Coast Inland,2017-12-10T23:52:02+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Temperature inversion conditions have moistened the snow surface at higher elevations.&nbsp; This is likely on all aspects in the north of the region and predominantly on southerly slopes in the south of the region.</span></p>",The weather pattern is stable
South Coast,2017-12-10T23:00:00Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Warm air is the continuing trend. Seek shady slopes for the best snow.</span></p>",The weather pattern is stable
North Columbia,2017-12-10T00:19:41+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
South Columbia,2017-12-10T00:08:29+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Purcells,2017-12-10T00:01:01+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Kootenay Boundary,2017-12-09T23:58:09+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Shady slopes offer the best snow. Isolated wind slabs may exist at high elevations.</span></p>",The weather pattern is stable
South Rockies,2017-12-10T23:42:27+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Warm temperatures and solar radiation may elevate the avalanche danger at higher elevations on Monday.</span></p>",Due to the number of field observations
Lizard Range and Flathead,2017-12-10T23:49:54+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Warm temperatures and solar radiation may elevate the avalanche danger at higher elevations on Monday.</span></p>",Due to the number of field observations
"Kananaskis Country, Alberta Parks",2017-12-10T23:00:00Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Good skiing can still be found in sheltered and shady places in the Alpine.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B"">Generally a stable snowpack.&nbsp; Keep watch for signs of the snow warming up with the high freezing level on Monday.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-11T00:38:45Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Northwest Coastal,2017-12-10T23:56:27+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Forecast freezing levels are highly uncertain for Sunday night and Monday; however, warming is expected to drive the avalanche danger. Use extra caution on sun-exposed slopes and limit your exposure to large overhead terrain.</span></p>",Freezing levels are uncertain on Monday
Northwest Inland,2017-12-11T00:08:48+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Warming and solar radiation will drive the avalanche danger on Monday. Use extra caution in sun-exposed terrain and limit your exposure to large overhead slopes.</span></p>",Freezing levels are uncertain on Monday
Sea To Sky,2017-12-10T23:56:34+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Shady slopes offer the best snow, but watch out for wind slabs that may have formed at higher elevations.</span></p>",The weather pattern is stable
South Coast Inland,2017-12-10T23:52:02+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Temperature inversion conditions have moistened the snow surface at higher elevations.&nbsp; This is likely on all aspects in the north of the region and predominantly on southerly slopes in the south of the region.</span></p>",The weather pattern is stable
South Coast,2017-12-10T23:00:00Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Warm air is the continuing trend. Seek shady slopes for the best snow.</span></p>",The weather pattern is stable
North Columbia,2017-12-11T00:31:35+00:00,low,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
South Columbia,2017-12-11T00:26:26+00:00,low,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
Purcells,2017-12-11T00:21:41+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
